"Stock quantity that will be sent to Yuju when a product has ""manage stock"" option disabled.","Stock quantity that will be sent to Yuju when a product has ""manage stock"" option disabled.",module,Madkting_Connect
"Use Ctrl+Click to check several values or uncheck value.","Use Ctrl+Click to check several values or uncheck value.",module,Madkting_Connect
"The selected attributes will be ignored on products update. Use Ctrl+Click to check several values or uncheck value.","The selected attributes will be ignored on products update. Use Ctrl+Click to check several values or uncheck value.",module,Madkting_Connect
"Select Stocks to Send","Select Stocks to Send",module,Madkting_Connect
"Use Ctrl+Click to check several values or uncheck value. If empty all the stocks will be add to Yuju stock.","Use Ctrl+Click to check several values or uncheck value. If empty all the stocks will be add to Yuju stock.",module,Madkting_Connect
"Option valid only for Magento 2.3+","Option valid only for Magento 2.3+",module,Madkting_Connect
"Error adding feed error message, check log registry #%1 for more details","Error adding feed error message, check log registry #%1 for more details",module,Madkting_Connect
"Error processing product feed, check log registry #%1 for more details", "Error processing product feed, check log registry #%1 for more details",module,Madkting_Connect
"Error processing images feed, check log registry #%1 for more details", "Error processing images feed, check log registry #%1 for more details",module,Madkting_Connect
"Missing category in Magento","Missing category in Magento",module,Madkting_Connect
"Missing category match","Missing category match",module,Madkting_Connect
"Create Orders with Fulfillment by Channel","Create Orders with Fulfillment by Channel",module,Madkting_Connect
"Creation of orders with fulfillment by channel is disabled.","Creation of orders with fulfillment by channel is disabled.",module,Madkting_Connect
"Creation of orders with no shipping address is disabled.","Creation of orders with no shipping address is disabled.",module,Madkting_Connect
"Fulfillment Type","Fulfillment Type",module,Madkting_Connect
"Channel","Channel",module,Madkting_Connect
"Merchant","Merchant",module,Madkting_Connect
